,Method,Output,Features,Scaling,Overall Score,Batch Correction,PCR batch,graph iLISI,graph connectivity,kBET,Bio conservation,Cell type ASW,isolated label F1,isolated label silhouette,graph cLISI,CC conservation,HVG conservation
5,Seurat v3 CCA,gene,HVG,unscaled,0.739751286781632,0.73380434744184,0.865363425438333,0.268691377093249,0.810971915642959,0.430459798066105,0.743715913008161,0.633060336112976,0.881856540084388,0.565447792410851,1,0.735980729794721,0.441301612596009
6,Seurat v3 CCA,gene,HVG,scaled,0.701146333374981,0.830701872154313,0.91115631639548,0.278002207164568,0.810980184623335,0.6144343380816,0.614775974188759,0.607274807989597,0.793875147232038,0.503962181974202,0.999027774194562,0.83427765463459,0.313281018082573
7,ComBat,gene,HVG,unscaled,0.680662599452383,0.458651926114437,0.999998587728828,0.0513586941036629,0.801700075069944,0.0322149295298564,0.828669715011014,0.574277728796005,0.900109769484083,0.601174436509609,0.999682157339809,0.903634491215874,0.547071891216614
11,scGen*,gene,HVG,unscaled,0.679646713339367,0.505618374804099,0.722089552056352,0.207239859157281,0.904481824545495,0.011183921912114,0.795665605696212,0.64177867770195,0.900662251655629,0.651002123951912,1,0.578410234755002,0.504211430446793
14,Harmony,embed,HVG,scaled,0.654328670509597,0.63497328243015,0.949957989098599,0.250191311664734,0.793972690341926,0.173111431875298,0.667232262562562,0.57633115971405,0.701711491442543,0.564260676736218,0.99673340199638,0.801899554616836,NA
13,Harmony,embed,HVG,unscaled,0.641039572049483,0.545552321534575,0.793322927759614,0.154475979228425,0.887541966542086,0.155310318763797,0.704697739059421,0.577951246257365,0.694656488549618,0.609508330393427,0.999724466342863,0.790647064660472,NA
12,scGen*,gene,HVG,scaled,0.633840351582434,0.593630174556598,0.918930527205572,0.266404163723422,0.846851583658828,0.0257823099612255,0.660647136266325,0.519440852105618,0.925566343042071,0.71929444372654,0.998867010730894,0.638966377433242,0.383750991496603
4,Scanorama,gene,HVG,scaled,0.628600297624315,0.609737876697507,0.839554826410306,0.182466940424687,0.679857776564188,0.402382868942105,0.641175244908854,0.603867083787918,0.610644257703081,0.585207886993885,0.999857180189408,0.832545077884601,0.327995571687775
2,Scanorama,embed,HVG,scaled,0.59883345153268,0.472585662383615,0.920831279849139,0.156242647149051,0.702051279660083,0.0351374563585665,0.682998644298724,0.574772973284353,0.617728531855956,0.559453722082856,0.99961351591618,0.889624445039089,NA
8,ComBat,gene,HVG,scaled,0.588725210323304,0.459448809215162,1,0.0508676546410914,0.803819583520259,0.0331804803126926,0.674909477728733,0.580398790538311,0.897689768976898,0.625165373086929,1,0.873499320247397,0.253947656133329
3,Scanorama,gene,HVG,unscaled,0.518037456235079,0.400700138558257,0.201890006851711,0.11454220039377,0.789615170829023,0.39830950460735,0.596262334686293,0.560279682278633,0.617728531855956,0.548707246780396,1,0.791321092991069,0.411420189777145
9,BBKNN,graph,HVG,unscaled,0.51485795515014,0.875868143713815,NA,0.366026800839129,0.947501444022556,0.472110824207666,0.27418449610769,NA,0.286571642910728,NA,0.829121439655859,NA,NA
18,SAUCIE,embed,HVG,scaled,0.450706222017835,0.522102556178097,0.930431757011797,0.30763071987712,0.452062189530006,0.105690465126754,0.403108665910993,0.574451275169849,0.133627829928216,0.491552939638495,0.990795981057595,0.684248134333534,NA
1,Scanorama,embed,HVG,unscaled,0.415781813144648,0.258854774474749,0.19795291687551,0.105547049821249,0.839169757012874,0.032531678954948,0.520399838924581,0.545142142452777,0.618585298196949,0.535744218821214,1,0.671775464403392,NA
16,SAUCIE,gene,HVG,scaled,0.413399181256104,0.522418586989996,0.930431690582974,0.308860477892639,0.450515294074571,0.105710715347158,0.340719577433509,0.574463315308094,0.147297297297297,0.491544707678258,0.990530384834391,0.684248828459845,0.25778087902713
10,BBKNN,graph,HVG,scaled,0.391812684953727,0.979531712384319,NA,0.41583279754827,0.943463013082616,0.580760329496985,0,NA,0.106548747104654,NA,0.745502248875562,NA,NA
15,SAUCIE,gene,HVG,unscaled,0.256492640017469,0.0908468971713213,0.20486911762235,0.143116532009905,0.224276033277685,0.07271764482491,0.366923135248234,0.500270659365924,0.284369114877589,0.525134278461337,0.995946872494661,0.469726319219612,0.503943183108743
17,SAUCIE,embed,HVG,unscaled,0.202442882712635,0.0906566923381438,0.204869048659784,0.143183419998867,0.227905550061033,0.0691207524398221,0.276967009628962,0.50029445294058,0.314096499526963,0.525184780359268,0.995813507521359,0.469726067666685,NA
