,Method,Output,Features,Scaling,Overall Score,Batch Correction,PCR batch,graph iLISI,graph connectivity,kBET,Bio conservation,Cell type ASW,isolated label F1,isolated label silhouette,graph cLISI,CC conservation,HVG conservation
5,Seurat v3 CCA,gene,HVG,unscaled,0.766418668761989,0.843316172777355,0.839136036881124,0.252464004306575,0.80990773512728,0.686878583870621,0.715153666085078,0.609935782849789,0.874029850746269,0.491013370454311,1,0.844257734067818,0.463842549892288
14,Harmony,embed,HVG,scaled,0.711186643765269,0.651467391597509,0.949421016041061,0.220563771687528,0.715231792396519,0.22970385000419,0.750999478543775,0.579995972762131,0.861331704337202,0.619691751676515,0.998040965530485,0.801328760633917,NA
11,scGen*,gene,HVG,unscaled,0.68766309345566,0.570324627071173,0.766404301332614,0.184585938752854,0.989129687368005,0.0141939741373104,0.765888737711985,0.640608787536621,0.994407158836689,0.564466930925846,1,0.656893065661652,0.49693526633812
6,Seurat v3 CCA,gene,HVG,scaled,0.681674324561608,0.80641401429924,0.909719972076303,0.24654339725644,0.710980476040921,0.626833168121316,0.598514531403187,0.618007220327854,0.678648454349389,0.492915350478142,0.999547171070669,0.821494116898741,0.302179418184875
4,Scanorama,gene,HVG,scaled,0.678950985824928,0.724165520000953,0.891670143580409,0.174197099197099,0.794475118306887,0.525975745170461,0.648807963040911,0.610819593071938,0.624523990860624,0.582704238593578,1,0.820024517903412,0.315427279369091
7,ComBat,gene,HVG,unscaled,0.678190870210099,0.459715014564216,0.999999512382992,0.0342444047718141,0.804666210283396,0.0521827436341078,0.823841440640687,0.578683599829674,0.888618381010347,0.600404277443886,1,0.896346568676164,0.556819005257279
13,Harmony,embed,HVG,unscaled,0.653412748933347,0.550659645545499,0.849507423633521,0.141017184205324,0.806652986501643,0.158337359814252,0.72191481785858,0.587215295154868,0.624489795918367,0.597533597438114,1,0.856084614232346,NA
2,Scanorama,embed,HVG,scaled,0.651033381897834,0.543097360918414,0.942365043303247,0.142823220880562,0.835812076384747,0.0292041565279107,0.722990729217446,0.585234166038515,0.720848056537102,0.551130893332511,1,0.900262017425147,NA
12,scGen*,gene,HVG,scaled,0.645624841370729,0.636352826211322,0.921588659507862,0.247381620394697,0.861443839569552,0.0170954634915869,0.651806184810334,0.533936601132154,0.939853850477797,0.713809370994568,0.999664464521084,0.611844239861062,0.38674532822897
8,ComBat,gene,HVG,scaled,0.583631036031492,0.450056711055764,1,0.0326811792546964,0.801968388557506,0.0319534530619537,0.672680586015312,0.585541948676109,0.860188087774295,0.627628192305565,1,0.851626305294953,0.254176349128422
3,Scanorama,gene,HVG,unscaled,0.558954558938897,0.419012550506397,0.188046001034754,0.099881248223302,0.842120511354585,0.428804566697397,0.652249231227231,0.559734925627708,0.639578630549285,0.550666872411966,1,0.900167132947912,0.41972329487176
18,SAUCIE,embed,HVG,scaled,0.496929913516997,0.608006937744432,0.8938911175645,0.283116261596581,0.512046651425859,0.176392724685469,0.422878564032041,0.567622266709805,0.152510381275953,0.473386246711016,0.995295708627671,0.739421235398568,NA
9,BBKNN,graph,HVG,unscaled,0.478588375073816,0.630057305293391,NA,0.275197628458498,0.995704422507039,0.0006434096435922,0.377609088260766,NA,0.0909529553679131,NA,0.963825214899713,NA,NA
1,Scanorama,embed,HVG,unscaled,0.459842581743668,0.262875731329013,0.204847018522129,0.08567769737659,0.821816662390639,0.03944425406283,0.591153815353437,0.546071579486014,0.639578630549285,0.536601632996003,1,0.811294436887073,NA
16,SAUCIE,gene,HVG,scaled,0.452407267828729,0.607482758227649,0.893891063370182,0.282585188339936,0.51194771529995,0.176377631382569,0.349023607562782,0.567637510597706,0.134301270417423,0.473363477736712,0.995219725779354,0.739421355933423,0.231512726479286
15,SAUCIE,gene,HVG,unscaled,0.289403370053985,0.184144877528501,0.258812765071319,0.135164479673882,0.206230740629826,0.188158523061969,0.359575698404307,0.506341597530991,0.305057745917961,0.485705467872322,0.996907245109168,0.494293727115475,0.516150060048701
10,BBKNN,graph,HVG,scaled,0.270267952312763,0.675669880781907,NA,0.305118946474087,0.994988463379371,0.0198007102928626,0,NA,0.0705439724094685,NA,0.864449305198147,NA,NA
17,SAUCIE,embed,HVG,unscaled,0.232646501206007,0.184450691016985,0.258813269716469,0.135488088682447,0.206230740629826,0.188182407591931,0.264777041332021,0.506325898226351,0.343664539653601,0.485733700916171,0.996856496789794,0.494293346835538,NA
