,Method,Output,Features,Scaling,Overall Score,Batch Correction,PCR batch,graph iLISI,graph connectivity,kBET,Bio conservation,Cell type ASW,isolated label F1,isolated label silhouette,graph cLISI,CC conservation,HVG conservation
5,ComBat,gene,HVG,unscaled,0.743328302512156,0.502789059910747,0.998669851850043,0.0533931798310522,0.881273683239216,4.21884749357559e-15,0.903687797579763,0.567742571234703,0.893424036281179,0.619581110775471,0.999916756974174,0.929521497102526,0.48493077324965
9,scGen*,gene,HVG,unscaled,0.717188015737629,0.685722013467558,0.663113092852661,0.0573147458194663,0.994019248103497,0.0062889071042213,0.738165350584343,0.730491414666176,0.978991596638655,0.515540915541351,1,0.449781294277869,0.433857239338681
6,ComBat,gene,HVG,scaled,0.621595752534526,0.503327617891742,1,0.0539173064605291,0.879004622492243,7.7715611723761e-15,0.700441175629716,0.567310750484467,0.85981308411215,0.632496222853661,0.999856613959269,0.798950318927537,0.249558091804402
10,scGen*,gene,HVG,scaled,0.478120530456796,0.492946922299399,0.94891369351194,0.079112602348125,0.763692328420908,6.08297523463363e-10,0.468236269228395,0.499528047279455,0.661111111111111,0.539013467729092,0.99290320353463,0.487314126657771,0.309318898785183
2,Scanorama,embed,HVG,scaled,0.418575405095467,0.327629199466944,0.848411862579673,0.0520715614752121,0.378983642421406,5.80168135755343e-11,0.479206208847816,0.500157904592237,0.53822629969419,0.443822684254071,0.999960250666718,0.525119922915863,NA
7,BBKNN,graph,HVG,unscaled,0.389620133449347,0.666289867828058,NA,0.212170429321639,0.997475073945662,5.04940977918977e-09,0.20517364386354,NA,0.0575594781273983,NA,0.986247928439819,NA,NA
1,Scanorama,embed,HVG,unscaled,0.341340511404432,0.0867226259301873,0.170788270997031,0.037247778084819,0.314817007813135,1.88737914186277e-14,0.511085768387261,0.529186424579796,0.53822629969419,0.528222145084065,1,0.371642306544887,NA
3,Scanorama,gene,HVG,unscaled,0.297151041298869,0.0672757834258705,0.39393172954925,0.0291654657435311,0.0179549204400735,1.23066667967464e-10,0.450401213214201,0.519703954458237,0.476964769647697,0.41875784099102,1,0.662443074888789,0.291720422574886
4,Scanorama,gene,HVG,scaled,0.245259692375819,0.211534905586217,0.670739302068432,0.0445888547436825,0.173814048875123,1.01252339845814e-12,0.267742883568886,0.34971883893013,0.242647058823529,0.395783968269825,0.998048367714502,0.602019597155966,0.266563138834941
8,BBKNN,graph,HVG,scaled,0.184430329480669,0.461075823701673,NA,0.0992979947168004,0.998584361402978,1.43836054178337e-11,0,NA,0.0518184744126166,NA,0.976920038765516,NA,NA
